公司全称,职位名称,薪资范围,公司规模,技能标签,公司行业,所需资历,公司位置,教育程度,公司地址
上海氪信信息技术有限公司,数据分析师,10k-20k,50-150人,"['数据挖掘', '数据分析']","金融,数据服务",应届毕业生,黄浦区,本科,延安西路
广州华多网络科技有限公司,风险数据分析师 (MJ001721),15k-30k,2000人以上,['风控'],移动互联网,3-5年,黄浦区,本科,豫园
上海诺亚金融服务有限公司,数据分析师,12k-15k,2000人以上,['数据分析'],金融,1-3年,杨浦区,本科,提篮桥
上海微问家信息技术有限公司,数据分析师,8k-12k,150-500人,"['数据运营', 'SQL', 'BI', '可视化']",移动互联网,应届毕业生,浦东新区,本科,
东莞市乐其网络科技有限公司,数据分析师（上海）,7k-13k,500-2000人,[],电子商务,不限,长宁区,本科,延安西路
易空海软件咨询（上海）有限公司,Data Scientist-数据分析和挖掘工程师,15k-30k,15-50人,['数据挖掘'],移动互联网,1-3年,静安区,本科,昌平路
上海卓永信息技术有限公司,数据分析师,15k-20k,15-50人,"['数据分析', '数据库', 'SQL']","移动互联网,医疗健康",3-5年,杨浦区,本科,
上海数禾信息科技有限公司,风险数据分析-品质管理方向,15k-30k,500-2000人,"['风控', '策略设计']","移动互联网,金融",1-3年,浦东新区,本科,金科路
上海噗呲网络科技有限公司,游戏数据分析师,15k-25k,15-50人,"['数据分析', '数据运营']","游戏,社交网络",3-5年,徐汇区,大专,东兰路
北京美至网络科技有限公司,数据分析师,15k-20k,50-150人,"['数据挖掘', '数据分析']","移动互联网,O2O",1-3年,黄浦区,本科,天潼路
车享汽车俱乐部（上海）有限公司,数据分析专员,4k-5k,150-500人,['数据分析'],电子商务,不限,浦东新区,大专,复兴岛
上海海万信息科技股份有限公司,数据分析,8k-12k,500-2000人,[],"移动互联网,金融",1-3年,徐汇区,本科,东安路
叽里呱啦文化传播（上海）有限公司,数据分析师,15k-25k,150-500人,"['商业', 'BI', '可视化', '数据分析']","移动互联网,教育",应届毕业生,普陀区,本科,长寿路
携程计算机技术（上海）有限公司,资深数据分析师,15k-25k,2000人以上,"['BI', '可视化', '数据分析']","移动互联网,旅游",3-5年,长宁区,本科,淞虹路
上海阳祥实业有限公司,数据分析总监,40k-80k,15-50人,['数据分析'],"电子商务,其他",5-10年,徐汇区,本科,徐家汇
如薇化妆品（苏州）有限公司上海分公司,数据分析主管（化妆品方向）,8k-10k,50-150人,"['数据挖掘', '数据分析']","快消,零售贸易",1-3年,黄浦区,本科,陕西南路
欧泰谱（深圳）科技有限公司,高级数据分析师-SQL,10k-15k,150-500人,"['SQL', '数据分析', '可视化', '商业']",数据服务 企业服务,3-5年,黄浦区,本科,大世界
上海驹旗网络科技有限公司,数据分析工程师,20k-25k,150-500人,"['数据挖掘', 'Hadoop', 'Hive', '数据分析']","移动互联网,电子商务",3-5年,徐汇区,本科,交通大学
哈步数据科技（上海）有限公司,客户成功数据分析师,10k-15k,50-150人,['数据分析'],企业服务,1-3年,徐汇区,本科,上海南站
上海彩亿信息技术有限公司,高级数据分析师,20k-30k,500-2000人,[],"移动互联网,金融",3-5年,徐汇区,本科,虹梅路
深圳市一面网络技术有限公司,数据分析师(商业方向，中高级,10k-20k,50-150人,[],"移动互联网,数据服务",1-3年,黄浦区,本科,大世界
武汉金源信企业服务信息系统有限公司,数据分析经理,25k-35k,150-500人,"['数据分析', 'MySQL']","电子商务,生活服务",5-10年,浦东新区,本科,中科路
上海画龙信息科技有限公司,高级商业数据分析师,20k-40k,50-150人,"['商业', '数据分析', '数据运营', 'SQL']","数据服务,广告营销",5-10年,徐汇区,硕士,徐家汇
Meritco Services,数据分析师,9k-18k,50-150人,['数据分析'],"企业服务,数据服务",不限,徐汇区,本科,交通大学
铂良乐传媒广告（北京）有限公司,高级数据分析师,30k-60k,150-500人,['数据挖掘'],"广告营销,移动互联网",5-10年,徐汇区,不限,交通大学
上海游族互娱网络科技有限公司,数据分析专员-游戏数据分析（2019校园招聘）,15k-20k,500-2000人,['数据分析'],"移动互联网,游戏",应届毕业生,徐汇区,硕士,
上海海万信息科技股份有限公司,数据分析工程师,10k-15k,500-2000人,"['数据分析', 'SQL', 'SPSS', '数据库']","移动互联网,金融",3-5年,静安区,本科,延长路
上海钧正网络科技有限公司,硬件数据分析 (MJ003743),13k-25k,2000人以上,['数据挖掘'],"移动互联网,硬件",3-5年,闵行区,本科,
上海百秋电子商务有限公司,数据分析主管(J10041),10k-15k,500-2000人,['运营'],"电子商务,企业服务",1-3年,长宁区,本科,丰庄
上海画龙信息科技有限公司,高级商业数据分析师,15k-30k,50-150人,"['商业', 'BI', '数据分析']","数据服务,广告营销",3-5年,徐汇区,硕士,徐家汇
上海奕己信息科技有限公司,数据分析产品经理,8k-16k,15-50人,"['数据分析', '数据处理']","移动互联网,社交网络",1-3年,松江区,大专,
上海旺旺食品集团有限公司,数据分析助理,4k-6k,2000人以上,[],"电子商务,移动互联网",不限,闵行区,不限,水城路
上海第一财经数据科技有限公司,数据分析师,10k-15k,150-500人,['数据分析'],移动互联网,1-3年,静安区,本科,
上海纳薇服装设计有限公司,数据分析专员/主管,6k-8k,500-2000人,"['数据分析', '数据运营', '商业']","电子商务,生活服务",1-3年,长宁区,大专,北新泾
上海倾听信息技术有限公司,数据分析师,15k-25k,150-500人,"['商业', '数据分析']",移动互联网,3-5年,浦东新区,本科,上海科技馆
贵阳高登世德金融科技有限公司,数据分析师,8k-15k,50-150人,['数据分析'],"金融,数据服务",1-3年,徐汇区,本科,东安路
上海掌小门教育科技有限公司,数据分析师,10k-20k,2000人以上,"['商业', 'BI', '数据分析']","移动互联网,教育",1-3年,虹口区,本科,临平路
北京摩拜科技有限公司,数据分析师,10k-15k,150-500人,['数据运营'],移动互联网,1-3年,长宁区,本科,延安西路
携程计算机技术（上海）有限公司,高级数据分析（机器学习方向）,20k-35k,2000人以上,"['数据分析', 'SQL']","移动互联网,旅游",3-5年,长宁区,本科,淞虹路
上海韩创网络科技有限公司,数据分析师,8k-15k,500-2000人,['数据分析'],"移动互联网,文化娱乐",1-3年,浦东新区,不限,云台路
百融金融信息服务股份有限公司,数据分析师,10k-20k,500-2000人,['数据分析'],"金融,数据服务",3-5年,浦东新区,本科,世纪大道
上海海万信息科技股份有限公司,高级数据分析师,13k-18k,500-2000人,"['数据分析', 'SQL']","移动互联网,金融",3-5年,浦东新区,本科,世纪公园
上海槿迈医疗科技有限公司,数据分析实习生,4k-6k,少于15人,['MySQL'],"移动互联网,医疗健康",1年以下,浦东新区,不限,学林路
上海誉渡信息技术有限公司,数据分析师,10k-20k,2000人以上,"['数据运营', '数据分析']","移动互联网,金融",1-3年,黄浦区,本科,豫园
精硕科技（北京）股份有限公司,2019校招-数据分析师（社会化媒体）,6k-8k,500-2000人,"['营销', '数据分析', '行业分析', '市场分析']",数据服务,应届毕业生,普陀区,本科,大渡河路
时趣互动（北京）科技有限公司,高级数据分析师 - 上海,10k-20k,500-2000人,"['数据分析', 'SPSS']",移动互联网,5-10年,长宁区,本科,延安西路
瑞易信息技术（上海）有限公司,资深数据分析师,10k-20k,150-500人,"['数据分析', 'SQL', '数据库']",数据服务,3-5年,徐汇区,本科,交通大学
武汉亿泽工程咨询有限公司,数据分析,6k-12k,50-150人,"['BI', '可视化', '数据库']",数据服务 企业服务,不限,闵行区,不限,虹桥火车站
上海神州数码有限公司,数据分析师,8k-15k,500-2000人,"['数据分析', '商业']","硬件,数据服务",不限,长宁区,硕士,淞虹路
赛仕软件（北京）有限公司上海分公司,数据分析师,10k-16k,2000人以上,['数据分析'],"企业服务,数据服务",应届毕业生,徐汇区,硕士,交通大学
携程计算机技术（上海）有限公司,高级数据分析师,17k-24k,2000人以上,"['数据分析', 'SQL', '数据库']","移动互联网,旅游",3-5年,长宁区,本科,淞虹路
上海银行,高级数据分析师,18k-25k,2000人以上,['数据分析'],金融,3-5年,浦东新区,本科,
平安健康互联网股份有限公司上海分公司,数据分析专家,40k-70k,2000人以上,"['数据分析', '商业', 'SQL', 'BI']","移动互联网,医疗健康",5-10年,徐汇区,本科,东安路
北京京东世纪贸易有限公司,SQL数据分析师,17k-30k,2000人以上,['SQLServer'],"电子商务,数据服务",3-5年,长宁区,本科,北新泾
上海睦颐金融信息服务有限公司,数据分析师（编号：YLW）,10k-15k,15-50人,"['数据分析', 'SPSS', 'SQL']","移动互联网,金融",3-5年,宝山区,本科,殷高西路
上海微问家信息技术有限公司,数据分析实习,4k-8k,150-500人,['数据分析'],移动互联网,应届毕业生,浦东新区,本科,
北京京东世纪贸易有限公司,SQL数据分析师,15k-25k,2000人以上,"['数据分析', 'SQL']","电子商务,数据服务",3-5年,长宁区,本科,北新泾
上海同界商务咨询有限公司,数据分析师,10k-15k,15-50人,"['数据分析', '数据运营']","数据服务,广告营销",1-3年,静安区,不限,曲阜路
太原啊哈网络科技有限公司,数据分析师,7k-10k,少于15人,[],移动互联网,1-3年,徐汇区,本科,交通大学
内蒙古易恒网络科技有限责任公司,数据分析师,12k-24k,少于15人,[],移动互联网、数据服务,不限,黄浦区,不限,曲阜路
上海陆家嘴国际金融资产交易市场股份有限公司,25217C-安全数据分析工程师,13k-26k,2000人以上,['数据挖掘'],金融,3-5年,浦东新区,本科,国际客运中心
上海任意门科技有限公司,数据分析实习生,4k-6k,150-500人,['数据分析'],"社交网络,文化娱乐",应届毕业生,浦东新区,本科,世纪公园
广州数说故事信息科技有限公司,实习数据分析师,3k-4k,150-500人,"['商业', '数据分析']",数据服务,应届毕业生,杨浦区,本科,江浦公园
深圳寻找母星网络科技有限公司,数据分析工程师,11k-18k,50-150人,"['BI', '数据分析', 'SQL', '数据库']","移动互联网,O2O",1-3年,徐汇区,本科,东兰路
国泰财产保险有限责任公司,高级数据分析师,25k-35k,500-2000人,['数据分析'],金融,3-5年,浦东新区,本科,世纪大道
"Weiou, Inc.",数据分析负责人,40k-70k,150-500人,"['数据分析', '数据库开发']",移动互联网,5-10年,浦东新区,本科,广兰路
行吟信息科技（上海）有限公司,电商数据分析Leader,30k-50k,500-2000人,['数据分析'],"生活服务,电子商务",5-10年,黄浦区,本科,大世界
上海韩创网络科技有限公司,产品数据分析师,15k-25k,500-2000人,"['用户研究', '交互设计', '数据分析', '用户增长']","移动互联网,文化娱乐",3-5年,浦东新区,本科,云台路
上海游族互娱网络科技有限公司,数据分析专员-海外广告投放（2019校园招聘）,15k-20k,500-2000人,['数据分析'],"移动互联网,游戏",应届毕业生,徐汇区,不限,
上海驹旗网络科技有限公司,高级数据分析工程师,20k-30k,150-500人,"['BI', '可视化', '数据分析', 'SQL']","移动互联网,电子商务",5-10年,徐汇区,本科,漕溪路
众安在线财产保险股份有限公司,数据分析工程师,18k-30k,2000人以上,['数据分析'],金融,3-5年,黄浦区,本科,曲阜路
上海韩创网络科技有限公司,商业数据分析师,15k-25k,500-2000人,"['市场分析', '数据分析']","移动互联网,文化娱乐",3-5年,浦东新区,本科,张江高科
深圳寻找母星网络科技有限公司,初级数据分析师,6k-10k,50-150人,"['数据运营', 'SQL', '数据库', 'BI']","移动互联网,O2O",1年以下,徐汇区,本科,东兰路
携程计算机技术（上海）有限公司,高级数据分析师傅（海外业务）,12k-24k,2000人以上,['数据分析'],"移动互联网,旅游",1-3年,长宁区,本科,淞虹路
上海海万信息科技股份有限公司,业务数据分析工程师,8k-15k,500-2000人,"['BI', '数据分析', 'SPSS']","移动互联网,金融",3-5年,浦东新区,大专,陆家嘴
赛仕软件（北京）有限公司上海分公司,高级数据分析师,20k-30k,2000人以上,['数据挖掘'],"企业服务,数据服务",3-5年,徐汇区,硕士,交通大学
上海凯熙信息技术有限公司,IT数据分析工程师（VBA）,8k-13k,150-500人,"['Oracle', 'SQLServer', '数据分析']","移动互联网,企业服务",3-5年,浦东新区,大专,金科路
好买财富管理股份有限公司,资深数据分析师,20k-30k,500-2000人,"['数据分析', '算法']","电子商务,金融",3-5年,虹口区,硕士,邮电新村
瑞庭网络技术（上海）有限公司,高级数据分析师,15k-20k,500-2000人,"['数据分析', 'SQL']",移动互联网,3-5年,浦东新区,本科,上海科技馆
平安健康互联网股份有限公司上海分公司,数据分析经理,21k-35k,2000人以上,"['数据分析', '数据运营']","移动互联网,医疗健康",5-10年,徐汇区,本科,东安路
上海斯馨广告有限公司,数据分析实习生,3K-6K,少于15人,[],广告营销,不限,普陀区,不限,昌平路
上海八点半网络科技有限公司,电商平台数据分析师,10k-20k,50-150人,['数据分析'],"移动互联网,数据服务",3-5年,静安区,不限,昌平路
上海晓途网络科技有限公司,策略数据分析师 (MJ000054),15k-25k,50-150人,"['风控', '风险评估', '风险管理', '风险分析']",移动互联网,3-5年,长宁区,本科,延安西路
时趣互动（北京）科技有限公司,数据分析实习生,2k-3k,500-2000人,"['数据分析', 'SPSS']",移动互联网,不限,长宁区,本科,延安西路
中证信用增进股份有限公司,数据分析工程师,20k-35k,500-2000人,"['BI', '可视化', '数据分析', 'SQL']",金融,3-5年,黄浦区,本科,大世界
上海麦图信息科技有限公司,初级数据分析师（实习岗）,4k-8k,15-50人,"['数据挖掘', '数据分析']",数据服务,应届毕业生,长宁区,本科,延安西路
携程计算机技术（上海）有限公司,数据分析专员(J16195),10k-15k,2000人以上,['数据分析'],"移动互联网,旅游",1-3年,长宁区,本科,淞虹路
上海沐睦网络科技有限公司,游戏数据分析师,6k-12k,15-50人,"['数据分析', 'SQL']",游戏,1-3年,闵行区,大专,虹梅路
众安在线财产保险股份有限公司,数据分析实习生,6k-10k,2000人以上,['数据分析'],金融,不限,黄浦区,本科,曲阜路
北京墨霏科技有限公司上海分公司,实习数据分析师,3k-5k,15-50人,"['数据分析', '数据处理']","信息安全,数据服务",应届毕业生,徐汇区,本科,交通大学
上海倾听信息技术有限公司,广告数据分析,15k-25k,150-500人,['数据分析'],移动互联网,3-5年,浦东新区,不限,上海科技馆
上海晓途网络科技有限公司,模型数据分析师 (MJ000055),15k-25k,50-150人,"['风控', '风险管理', '风险评估']",移动互联网,3-5年,长宁区,本科,延安西路
杭州数云信息技术有限公司上海分公司,CRM数据分析师,7k-13k,150-500人,['SQLServer'],"企业服务,数据服务",1-3年,徐汇区,本科,漕溪路
上海韩创网络科技有限公司,商业数据分析师,15k-25k,500-2000人,"['数据分析', 'MySQL', 'SQLServer', '数据处理']","移动互联网,文化娱乐",3-5年,浦东新区,本科,张江高科
上海欧拉网络技术有限公司,数据分析建模师,20k-40k,50-150人,"['分析师', '产品设计', '策略设计']",移动互联网,3-5年,浦东新区,本科,
上海淡红金融科技有限公司,BI数据分析师,20k-25k,500-2000人,"['BI', '数据分析']",其他,3-5年,长宁区,本科,北新泾
上海树融数据科技有限公司,高级数据分析师,20k-35k,15-50人,['数据分析'],"企业服务,数据服务",5-10年,杨浦区,硕士,殷高东路
上海业霆网络科技有限公司,BI数据分析师,10k-20k,500-2000人,['数据分析'],"移动互联网,教育",3-5年,静安区,本科,昌平路
上海点融信息科技有限责任公司,BI数据分析师,18k-36k,150-500人,"['MySQL', '数据分析', '数据挖掘']",金融,3-5年,黄浦区,本科,
北京中关村融汇金融信息服务有限公司,风控数据分析师,10k-20k,150-500人,"['风控', '信贷风险管理', '风险分析', '风险管理']","移动互联网,金融",1-3年,浦东新区,本科,陆家嘴
上海淇毓信息科技有限公司,BI数据分析师,18k-35k,500-2000人,"['SQL', '数据分析', '数据运营', 'SPSS']","移动互联网,金融",1-3年,浦东新区,本科,杨高中路
上海沐睦网络科技有限公司,游戏数据分析师,6k-10k,15-50人,[],游戏,应届毕业生,闵行区,不限,虹梅路
携程计算机技术（上海）有限公司,数据分析经理Data Manager,25k-30k,2000人以上,"['商业', 'BI', 'SQL', '数据分析']","移动互联网,旅游",5-10年,长宁区,本科,淞虹路
霍尔果斯旗发信息技术有限公司上海金山分公司,风控数据分析,10k-20k,150-500人,"['BI', '数据分析', '数据库']",移动互联网,3-5年,杨浦区,本科,杨树浦路
上海誉渡信息技术有限公司,风险数据分析师（东南亚现金贷方向）,15k-30k,2000人以上,"['风控', '信用产品']","移动互联网,金融",3-5年,黄浦区,本科,豫园
上海第一财经数据科技有限公司,商业数据分析师,10k-18k,150-500人,"['数据挖掘', '数据分析']",移动互联网,3-5年,静安区,本科,
上海掌小门教育科技有限公司,商业数据分析师,10k-20k,2000人以上,"['数据分析', '市场']","移动互联网,教育",1-3年,虹口区,本科,临平路
上海竟跃网络科技有限公司,电竞赛事数据分析师,7k-10k,50-150人,['数据分析'],移动互联网,不限,徐汇区,本科,虹漕路
上海晓途网络科技有限公司,模型数据分析师,15k-25k,50-150人,"['数据挖掘', '数据分析']",移动互联网,1-3年,长宁区,本科,延安西路
深圳虾皮信息科技有限公司,BI数据分析实习生,2k-4k,2000人以上,"['MySQL', '数据分析', '数据处理']",电子商务,应届毕业生,徐汇区,本科,东兰路
上海盛惜投资管理有限公司,风控数据分析师,10k-20k,50-150人,['风控'],"移动互联网,金融",1-3年,黄浦区,本科,马当路
北京三快在线科技有限公司,数据分析运营,15k-25k,2000人以上,['运营'],"移动互联网,O2O",3-5年,长宁区,本科,
上海韩创网络科技有限公司,商业数据分析师,15k-25k,500-2000人,"['商业', '数据分析', 'SQL']","移动互联网,文化娱乐",3-5年,浦东新区,本科,云台路
上海客琛网络科技有限公司,数据分析管培生（校园招聘）,5k-10k,50-150人,"['风控', '策略设计']","移动互联网,生活服务",不限,浦东新区,本科,
众安在线财产保险股份有限公司,催收数据分析岗,10k-20k,2000人以上,['分析师'],金融,3-5年,浦东新区,本科,广兰路
上海游族互娱网络科技有限公司,资深游戏数据分析师,16k-28k,500-2000人,['数据分析'],"移动互联网,游戏",3-5年,徐汇区,本科,虹漕路
霍尔果斯旗发信息技术有限公司上海金山分公司,风控数据分析（新）,10k-16k,150-500人,"['数据挖掘', '数据分析']",移动互联网,1-3年,杨浦区,本科,杨树浦路
携程计算机技术（上海）有限公司,市场数据分析师,10k-15k,2000人以上,"['数据分析', '市场']","移动互联网,旅游",1-3年,长宁区,本科,淞虹路
上海复漫网络科技有限公司,Data Analysis数据分析专员,6k-10k,50-150人,"['数据分析', 'SQL', '数据库', '数据运营']",电子商务,1-3年,嘉定区,本科,
上海誉渡信息技术有限公司,风险数据分析师,15k-25k,2000人以上,"['风控', '策略设计']","移动互联网,金融",3-5年,黄浦区,本科,豫园
苏州叠纸网络科技股份有限公司,运营数据分析 (MJ000129),20k-35k,150-500人,"['运营', '游戏运营']",游戏,5-10年,浦东新区,本科,提篮桥
上海浅橙网络科技有限公司,运营数据分析,15k-25k,150-500人,['数据分析'],"移动互联网,金融",1-3年,杨浦区,本科,
北京中关村融汇金融信息服务有限公司,风控数据分析建模师,10K-20K,150-500人,['风控'],"移动互联网,金融",1-3年,黄浦区,本科,国际客运中心
公牛集团股份有限公司,电商数据分析专员,6k-12k,2000人以上,[],"电子商务,硬件",1-3年,闵行区,本科,银都路
深圳市小赢科技有限责任公司,风险数据分析经理,30k-40k,500-2000人,"['风控', '分析师']",金融,1-3年,虹口区,硕士,曲阜路
上海济忆网络科技有限公司,CRM数据分析,13k-18k,2000人以上,['MySQL'],教育,3-5年,闵行区,本科,银都路
上海嘉之道企业管理咨询有限公司,汽车行业数据分析实习生,2k-4k,150-500人,['数据分析'],"数据服务,广告营销",不限,长宁区,本科,威宁路
上海耀竞文化传播有限公司,电竞数据分析助理,6k-10k,50-150人,"['数据分析', '数据处理', '数据挖掘']",游戏,1-3年,黄浦区,大专,马当路
上海任意门科技有限公司,市场数据分析实习生,4k-6k,150-500人,['数据分析'],"社交网络,文化娱乐",应届毕业生,浦东新区,本科,世纪公园
上海你我贷互联网金融信息服务有限公司,智能运维数据分析师 (MJ000530),15k-30k,2000人以上,"['数据分析', '数据挖掘']",金融,3-5年,浦东新区,本科,上海科技馆
连尚（北京）网络科技有限公司,风控数据分析,20k-40k,500-2000人,[],"移动互联网,生活服务",3-5年,浦东新区,不限,
携程计算机技术（上海）有限公司,海外酒店数据分析师（收益定价方向）,10k-20k,2000人以上,"['SQL', '数据分析']","移动互联网,旅游",1-3年,长宁区,本科,淞虹路
中国平安人寿保险股份有限公司,02215M-BI数据分析师,10k-18k,2000人以上,"['BI', '商业', '可视化', '数据分析']",金融,1年以下,浦东新区,本科,
